Date,Mean/Average,Most Bearish Response,Quart 1 (25% at/below),Quart 2 (median),Quart 3 (25% at/above),Most Bullish Response,Standard Deviation,NAAIM Number,S&P 500
13-Feb-08,15.33,-200,0,20,57.5,200,74.68,15.33,1349.99
6-Feb-08,30.89,-200,0,22.5,56.25,200,70.45,30.89,1331.29
30-Jan-08,25.63,-160,0,10,55,200,62.16,25.63,1395.42
23-Jan-08,39.91,-200,0,33.5,75,200,74.04,39.91,1330.61
16-Jan-08,12.92,-200,0,20,50,100,58.39,12.92,1325.19
9-Jan-08,41.45,-200,0,50,85,200,75.14,41.45,1401.02
2-Jan-08,83.55,0,50,70,100,200,55.23,83.55,1411.63
26-Dec-07,74.79,-50,47.5,80,100,200,50.5,74.79,1478.49
19-Dec-07,56.27,-200,22.5,52.5,97.5,200,71.47,56.27,1484.46
12-Dec-07,73.57,-200,50,87.5,100,200,69.02,73.57,1467.95
5-Dec-07,69.43,-90,40,72.5,90,200,60.54,69.43,1504.66
28-Nov-07,51.07,-200,25,57.5,92.5,200,68.93,51.07,1481.14
21-Nov-07,51.04,-70,18.75,46,66.25,200,60.49,51.04,1440.7
14-Nov-07,68.35,0,44,65,98.25,200,40.68,68.35,1458.74
7-Nov-07,84.44,-20,50,80,100,200,52.53,84.44,1453.7
31-Oct-07,65.69,-200,38.75,90,100,200,75.07,65.69,1509.65
24-Oct-07,69.14,-200,50,90,100,200,65.85,69.14,1535.28
17-Oct-07,86.46,-50,75,92.5,100,200,49.21,86.46,1500.63
10-Oct-07,66.43,-125,52.5,90,100,130,56.23,66.43,1561.8
3-Oct-07,75.49,-125,65,90,100,200,61.37,75.49,1557.59
26-Sep-07,77.36,0,60,75,93.75,200,38.19,77.36,1526.75
19-Sep-07,63.5,0,50,57.5,87.5,200,42.41,63.5,1525.75
12-Sep-07,46.55,-125,0,40,85,200,69.6,46.55,1484.25
5-Sep-07,39.63,-50,7.5,40,77.5,100,45.02,39.63,1453.55
29-Aug-07,-2.11,-200,-3.75,5,41.25,100,72.57,-2.11,1473.99
22-Aug-07,38.19,-15,0,22.5,50,200,52.7,38.19,1479.37
15-Aug-07,21.25,-100,0,5,33.75,200,57.03,21.25,1445.94
8-Aug-07,43.82,-50,0,31,70,200,65.1,43.82,1453.64
1-Aug-07,39,-125,0,36,52.5,200,59.66,39,1433.06
25-Jul-07,40.58,-125,0,50,85,200,63.77,40.58,1458.95
18-Jul-07,74.13,0,50,80,94.5,200,45.89,74.13,1534.1
11-Jul-07,62.39,-100,50,75,90,200,51.35,62.39,1530.44
05-יול,56.06,-125,38.75,77.5,91.25,200,60.18,56.06,1552.5
27-Jun-07,74.23,-50,45,77,100,200,55.83,74.23,1503.35
20-Jun-07,61.47,-125,40,85,100,200,67.95,61.47,1502.56
13-Jun-07,53.04,-125,0,75,100,150,65.54,53.04,1532.91
6-Jun-07,57.63,-125,27,80,97.5,200,62.81,57.63,1507.67
30-May-07,80.55,-50,65,90,100,200,48.79,80.55,1536.34
23-May-07,82.5,-125,80.25,90,100,200,53.98,82.5,1515.73
16-May-07,87.38,-125,87.75,100,100,200,51.82,87.38,1522.75
9-May-07,73.83,-125,67.5,97.5,100,117,55.06,73.83,1505.85
2-May-07,82.67,-125,63.75,92,100,200,59.06,82.67,1505.62
25-Apr-07,75.42,-125,80,90,100,200,59,75.42,1494.07
18-Apr-07,54.14,-200,38,80,100,112,69.28,54.14,1484.35
11-Apr-07,59.32,-125,50,66,90,200,57.83,59.32,1452.85
4-Apr-07,45.65,-125,21,57.5,87.5,200,64.54,45.65,1443.76
28-Mar-07,44.54,-120,16,47.5,82.5,200,61.63,44.54,1420.86
21-Mar-07,47.7,-100,21.5,40,85,200,54.91,47.7,1436.11
14-Mar-07,38.05,-150,24,45,90,100,68.64,38.05,1386.95
7-Mar-07,52.4,-75,30,50,90,150,48.6,52.4,1402.84
28-Feb-07,89.33,-100,85,100,100,200,53.73,89.33,1387.17
21-Feb-07,73.68,-150,61.5,90,100,118,52.76,73.68,1451.19
14-Feb-07,79.09,-100,67.5,92.5,100,200,55.65,79.09,1455.54
7-Feb-07,82,-50,62.5,90,100,200,45.93,82,1438.06
31-Jan-07,80.75,-50,62.5,87.5,100,200,49.38,80.75,1448.39
24-Jan-07,72.59,-50,52.5,85,100,125,42.72,72.59,1422.18
17-Jan-07,84.89,0,68,100,100,112,27.9,84.89,1430.5
10-Jan-07,58.88,-150,50,81.5,100,125,65.21,58.88,1430.73
3-Jan-07,100.05,50,85,100,108,200,32.24,100.05,1409.71
27-Dec-06,85.17,-30,79,100,100,150,35.21,85.17,1418.3
20-Dec-06,92.91,50,83.5,100,100,150,22.35,92.91,1410.76
13-Dec-06,93,50,85,100,100,125,19.42,93,1427.09
6-Dec-06,74.73,-150,75.75,100,100,125,58.03,74.73,1409.84
29-Nov-06,86.67,-25,72.5,100,100,150,38.41,86.67,1396.71
22-Nov-06,92.43,50,80,100,100,150,20.82,92.43,1400.95
15-Nov-06,68.1,-150,56,89,100,150,61.3,68.1,1401.2
8-Nov-06,73.96,-50,53,90,100,150,46.65,73.96,1380.9
1-Nov-06,80.96,-100,68.75,90,100,200,53.86,80.96,1364.3
25-Oct-06,80.16,-100,70,90,100,200,53.12,80.16,1377.34
18-Oct-06,84.41,-20,77.5,95,100,150,33.22,84.41,1368.6
11-Oct-06,60.09,-125,50,82.5,100,120,59.83,60.09,1365.62
4-Oct-06,69.7,-100,50,88,100,175,59.4,69.7,1349.59
27-Sep-06,49.9,-125,45,50,90,123,55.81,49.9,1335.85
20-Sep-06,78,20,50,82.5,100,150,31.26,78,1314.78
13-Sep-06,45.8,-100,15,50,85,150,56.23,45.8,1319.66
6-Sep-06,49.38,-70,50,60,90,100,50.37,49.38,1298.92
30-Aug-06,42.1,-60,0,50,75,100,45.17,42.1,1311.01
23-Aug-06,42.1,-60,0,50,75,100,45.17,42.1,1295.09
16-Aug-06,38.6,-100,0,50,75,150,56.52,38.6,1302.3
9-Aug-06,45.02,-100,31.25,50,58.75,150,47.48,45.02,1266.74
2-Aug-06,44.23,-50,21.25,50,53.75,175,43.69,44.23,1279.36
26-Jul-06,17.38,-50,0,15,50,100,33.78,17.38,1278.55
19-Jul-06,18.76,-100,0,25,50,100,38.17,18.76,1240.29
12-Jul-06,31.2,-50,0,25,50,150,47.84,31.2,1236.2
5-Jul-06,19.44,-100,0,20,50,100,55.55,19.44,1265.48
12/7/2006,31.2,-50,0,25,50,150,47.84,31.2,1236.2
5/7/2006,19.44,-100,0,20,50,100,55.55,19.44,1265.48
